Wall time,Step,Value
1680532627.9815168,2244,10.0
1680532644.4633105,2257,10.0
1680532674.7954926,2281,10.0
1680532697.910622,2300,10.0
1680532703.7528749,2305,10.0
1680532704.9724433,2306,10.0
1680532716.795663,2316,10.0
1680532720.2865784,2319,10.0
1680532726.0948255,2324,10.0
1680532735.535977,2332,10.0
1680532739.0791707,2335,10.0
1680532747.2316847,2342,10.0
1680532751.9338536,2346,10.0
1680532759.0050507,2352,10.0
1680532767.263339,2359,10.0
1680532783.7699363,2373,10.0
1680532796.7068071,2384,10.0
1680532802.5529041,2389,10.0
1680532807.2553852,2393,10.0
1680532808.3973746,2394,10.0
1680532811.90459,2397,10.0
1680532813.0954723,2398,10.0
1680532848.3140752,2428,10.0
1680532851.836027,2431,10.0
1680532856.5343742,2435,10.0
1680532857.6952965,2436,10.0
1680532863.525289,2441,10.0
1680532864.7115464,2442,10.0
1680532878.772873,2454,10.0
1680532888.1158612,2462,10.0
1680532890.429629,2464,10.0
1680532891.6012323,2465,10.0
1680532915.0800505,2485,10.0
1680532924.4713743,2493,10.0
1680532930.3728724,2498,10.0
1680532935.6926677,2500,12.0
1680532939.3085985,2503,12.0
1680532941.688011,2505,12.0
1680532942.8785596,2506,12.0
1680532951.2070165,2513,12.0
1680532955.9730365,2517,12.0
1680532957.1806085,2518,12.0
1680532958.4234731,2519,12.0
1680532960.782463,2521,12.0
1680532963.1455495,2523,12.0
1680532969.1281853,2528,12.0
1680532971.614135,2530,12.0
1680532981.0657,2538,12.0
1680533013.0824218,2565,12.0
1680533014.279763,2566,12.0
1680533016.7328982,2568,12.0
1680533027.4668703,2577,12.0
1680533028.6698914,2578,12.0
1680533036.996358,2585,12.0
1680533040.6246467,2588,12.0
1680533041.834647,2589,12.0
1680533045.4137049,2592,12.0
1680533053.687993,2599,12.0
1680533056.0513244,2601,12.0
1680533061.9756944,2606,12.0
1680533076.3196805,2618,12.0
1680533077.4930325,2619,12.0
1680533087.1525085,2627,12.0
1680533088.3698237,2628,12.0
1680533096.6930819,2635,12.0
1680533100.2518706,2638,12.0
1680533101.4067142,2639,12.0
1680533102.622484,2640,12.0
1680533106.1766782,2643,12.0
1680533128.9121053,2662,12.0
1680533138.3859005,2670,12.0
1680533139.6025047,2671,12.0
1680533143.2040656,2674,12.0
1680533151.461979,2681,12.0
1680533155.0265815,2684,12.0
1680533157.3441653,2686,12.0
1680533160.9448605,2689,12.0
1680533165.7252345,2693,12.0
1680533176.4000523,2702,12.0
1680533183.544297,2708,12.0
1680533188.2899482,2712,12.0
1680533189.465999,2713,12.0
1680533194.17993,2717,12.0
1680533195.3842313,2718,12.0
1680533196.589768,2719,12.0
1680533202.5342994,2724,12.0
1680533208.4570444,2729,12.0
1680533209.6404896,2730,12.0
1680533214.3344064,2734,12.0
1680533220.3137019,2739,12.0
1680533221.552151,2740,12.0
1680533222.7456684,2741,12.0
1680533226.3278527,2744,12.0
1680533236.9650226,2753,12.0
1680533238.1592937,2754,12.0
1680533239.3607264,2755,12.0
1680533245.2262192,2760,12.0
1680533251.1975057,2765,12.0
1680533254.7632935,2768,12.0
1680533258.3444035,2771,12.0
1680533260.7359903,2773,12.0
1680533263.1185918,2775,12.0
1680533266.72856,2778,12.0
1680533275.1536539,2785,12.0
1680533289.3138409,2797,12.0
1680533291.7020574,2799,12.0
1680533307.2575464,2812,12.0
1680533308.4500663,2813,12.0
1680533321.468553,2824,12.0
1680533333.2870414,2834,12.0
1680533335.6389198,2836,12.0
1680533337.969493,2838,12.0
1680533345.1269066,2844,12.0
1680533353.4770594,2851,12.0
1680533354.653701,2852,12.0
1680533360.564818,2857,12.0
1680533365.3191645,2861,12.0
1680533366.478045,2862,12.0
1680533371.2978475,2866,12.0
1680533386.7821739,2879,12.0
1680533389.1222541,2881,12.0
1680533390.3557527,2882,12.0
1680533401.0484464,2891,12.0
1680533403.4699686,2893,12.0
1680533405.8322098,2895,12.0
1680533415.3354986,2903,12.0
1680533424.8063533,2911,12.0
1680533428.371015,2914,12.0
1680533429.5814455,2915,12.0
1680533433.1167665,2918,12.0
1680533435.48643,2920,12.0
1680533436.6477163,2921,12.0
1680533440.1787088,2924,12.0
1680533447.1994033,2930,12.0
1680533451.9317484,2934,12.0
1680533453.1265905,2935,12.0
1680533469.9823093,2949,12.0
1680533473.548082,2952,12.0
1680533477.1324556,2955,12.0
1680533485.4047549,2962,12.0
1680533488.9158425,2965,12.0
1680533491.2962828,2967,12.0
1680533498.491719,2973,12.0
1680533504.4520373,2978,12.0
1680533511.6248963,2984,12.0
1680533513.9615548,2986,12.0
1680533522.2377338,2993,12.0
1680533525.7808075,2996,12.0
1680533528.129016,2998,12.0
1680533529.301934,2999,12.0
1680533535.9805775,3002,14.0
1680533545.5450647,3010,14.0
1680533556.2983594,3019,14.0
1680533562.350528,3024,14.0
1680533568.3886628,3029,14.0
1680533574.301019,3034,14.0
1680533589.9970875,3047,14.0
1680533592.408759,3049,14.0
1680533604.4747472,3059,14.0
1680533612.904527,3066,14.0
1680533616.5122962,3069,14.0
1680533622.6005876,3074,14.0
1680533633.4003184,3083,14.0
